Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",15,Lake Buena Vista,The resort was nice and people were friendly. The only problem I had was my room was on second floor and no elevator to go up and down. I can do it but I have a problem once in while with my feet and legs...,"May 31, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Vacation ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",24,Lake Buena Vista,"We stayed in the 1 bedroom accessible villa in ""South Point"". The bus stop was very close and there was a pool area near our location - although the larger central pool is the one to utilize for the unique design. One thing that really...","May 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Plenty of space for a family to stretch out and the pool area is fabulous,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",43,Lake Buena Vista,"we booked over 9 months ago and still got 2 poor rooms at the end of a block I got one end my son got the other all we had all night was the air conditioning humming and banging for 10 nights.
ask to change...","May 4, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Watch your Bill,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",9,Lake Buena Vista,"We've been DVC members since 1993, when this was referred to as Disney Vacation Club Conch Flats. We enjoy the laid backness of the resort and were saddened to hear that our favorite bartender Joe from The Gurgling Suitcase is no longer there. The main...","June 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Our Home Resort,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",1,Lake Buena Vista,"Wonderful, quiet stay for our first WDW vacation! Quiet resort with several pools and food options. Bus transportation available to all parks and Disney Springs. Boat/ferry also transports to Disney Springs. 1-BR was very spacious for our family (5). Full-size kitchen appliances and washer/dryer inside...","June 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Awesome Accommodations at Disney's Old Key West ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",37,Lake Buena Vista,"We stayed at Disney's Old Key West Resort for our honeymoon in Florida. We got a free upgrade to a villa on arrival, and everything was perfect. The rooms were clean, the resort had everything we needed, and staff were very friendly and helpful. There...","June 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Perfect honeymoon,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",2,Lake Buena Vista,"What an excellent resort! The front desk cast members are more than willing to accommodate your every wish. The property is beautiful and clean! The house, yes I said house because they have thought of everything, just like home. It was very convient having a...","May 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",We Love Old Key West!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",12,Lake Buena Vista,Stayed at OKW first week of May. Was in building 14 across from hospitality area. Perfect location. This resort is old and the rooms show it. All rooms need a major refresh of everything. Not worth the rack rate price at all. Luckily I have...,"May 11, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Nice but needs a major refresh,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",13,Lake Buena Vista,"The studio rooms are huge. We love the space and small kitchen (small frig, microwave, sink) and the balcony. This visit we stayed in room 4620. Since drive (and don't have to depend on bus service) 4620 was perfect -- quiet, water view, and close...","April 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Love the studios!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",28,Lake Buena Vista,We enjoyed our time at OKW. It is quaint and has a nice beach vibe. It is so spread out so be prepared to do some walking (I didn't mind that). There is an internal shuttle but sometimes walking is faster. We've stayed at many...,"July 8, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice but not new,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",27,Lake Buena Vista,"Second stay at OKW. First time I stayed was for with my best friend 8 years ago. Enjoyed the resort then, didn't like Olivia's restaurant back then. This time loved the resort and Olivia's restaurant.
Rooms are being updated- we were in one that had...","July 2, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Romantic Getaway,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",23,Lake Buena Vista,"I had a studio at Old Key West, it was very nice, two queen beds, table and two chairs, a tiny kitchenette, that had a refrigerator, microwave, sink, glasses, dishes etc and a very nice large bathroom. It had a balcony with two chairs and...","July 14, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Location Large Rooms,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",5,Lake Buena Vista,"Had a wonderful time. The resort was clean and well maintained. From front desk to cleaning ladies all were very nice and sincere . Boat ride to Disney Springs was unforgettable.
Now, i am being very picky but i thought bathroom floor need work done...","June 19, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Wonderful Vacation ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",21,Lake Buena Vista,"Had a wonderful time! We didn't come with our family this time, only the two of us and this resort was perfect for us. The room was perfect with a very small kitchen which I loved. The pool was never too crowded as some Disney...","July 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Time!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",7,Lake Buena Vista,Old Key West is the original Disney Vacation Club resort. The studios are monsterous and have a unique triangular shape compared to other Disney properties. We were close to Hospitality House which is a bonus as this is a huge resort property. I would HIGHLY...,"May 24, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Huge Rooms but dated bathrooms,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",5,Lake Buena Vista,I went to disney for a wedding and stayed with my husband and son at the Old Key West resort. Even the deluxe room had a small fridge and microwave which was great for snacks and to keep our food. The resort is extremely clean...,"May 24, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Very comfortable trip!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",15,Lake Buena Vista,We have stayed at many resorts in Disney but Old Key West is one of our favorites. This was our first time staying here. We stayed in a deluxe studio. The rooms are very spacious and the bathrooms are very large as well. Our roomed...,"May 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Slice of Heaven in Disney,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",18,Lake Buena Vista,"We completed a one week trip to Disney World at the end of May. We were originally booked at Port Orleans-French Quarter but after being able to purchase DVC points from a member, switched our reservation to the Old Key West Resort.
First, the grounds--are...","June 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",A wonderful trip to Disney World,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",6,Lake Buena Vista,"I stay at Disney World several times a year and have an annual pass. I have enjoyed The Contemporary, Saratoga Springs, The Beach Club, Animal Kingdom Lodge, and The Grand Floridian. This was my 1st time at Old Key West Villas. I was really excited...","July 7, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Not a 4 star resort,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",15,Lake Buena Vista,"First time at okw first time at Disney.
Firstly we had a room right by the drop off and Olivia's cafe. You can request a room closer to a bus stop for the park buses.
We arrived and the staff could not do enough for...","July 7, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Amazing,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",21,Lake Buena Vista,We had a one bed villa in block 29. Lovely and spacious and was a home away from home for our 3 weeks stay. The bed is comfortable but the sofa beds are a little hard. The safe is extremely small and only able to...,"July 2, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Home away from home,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",2,Lake Buena Vista,"This resort is great, the villas have all amenities required including a laundry room which I found extremely useful. The one drawback was there was no food court for a quick breakfast or lunch which some of the other Disney resorts have. We had a...","June 30, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great villas,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",142,Lake Buena Vista,"We loved our room, it had a huge fridge and microwave. The air conditioner was a blessing! The only thing we did not like had more to do with the Disney bus transportation. This resort has boat transport to Disney Springs and it was wonderful....","July 14, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Very nice rooms!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",6,Lake Buena Vista,"This is your typical Disney resort and its everything you expect it to be. The pool is always super crowded, the food is overpriced, the staff is nice, the shuttles to and from the parks are helpful, and the pool activities are a little much....","July 12, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",July Disney Trip.,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",31,Lake Buena Vista,"The service we received was absolutely excellent. We did have a few issues such as noise in our initial room and incorrect information given out regarding the Run Disney Race; which we had both entered, but your staff could not be more helpful, instantly rectifying...","July 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Total luxury,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",36,Lake Buena Vista,"We own at two timeshares: Orange Lake and Disney's Old Key West. I love both for different reasons.
Old Key West is very laid back. As far as Disney timeshares go, these are the most roomy. Old Key West is the original Disney timeshare, and...","June 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Our home away from home,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",32,Lake Buena Vista,We just returned from a Memorial Day weekend (week long) trip to WDW. We were originally staying at Fort Wilderness Cabins but an offer came out that made a move to Old Key West more affordable. The room was the biggest I've ever stayed at...,"June 11, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",We enjoyed our stay in a 1 bedroom villa,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",25,Lake Buena Vista,"We intended to stay at this resort for 3 weeks during July. We received a warm greeting at reception and the staff were lovely and very helpful.
We were taken to our room in a golf cart by bell services. Our room was situated on...","July 26, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",disappointing and definitely not deluxe,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",3,Lake Buena Vista,"Well, just had to give some feedback about the bus situation on this, one of our many Vacation Club trips. We had incredibly long waits, compared to other resorts and never were provided an explanation or reason. Routinely up to an hour from and to...","July 22, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",A little disappointed ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",24,Lake Buena Vista,"We are DVC members and had not yet visited this resort, so off we went to Old Key West!! What a pretty resort, decorated completely in a beach theme. It is on a LARGE piece of property and sprawled out, which created our only real...","July 20, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great Resort and Character!!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",17,Lake Buena Vista,"We had 8 nights here in April and I was a bit concerned as had read some mixed reviews about it. It was fantastic, the Disney service was great, they cheered up my daughter and me after a particularly long bus transfer from Hollywood Studios...","May 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Fantastic family stay, really surpassed expectations",3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",2,Lake Buena Vista,"""Welcome home."" Hearing those words, memories flood my mind. So many years, so many experiences...Old Key West, home away from home.
Accommodations are spaceous and comfortable here, far roomier than the other DVC's on property. Grounds are well-maintained and well-groomed. Flowers delight. Its gardenia wafts...","May 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Disney's Old Key West Resort, an Unpaid, Unsolicited Personal Review",3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",7,Lake Buena Vista,"We stayed in the 2 bedroom dvc room with total of 9 people.
Very spacious and roomy. Very well equipped.
Staff are very friendly.
The pool was fun and relaxing.
Kids loved the campfire, roasting marshmallows, the community hall where they made various crafts.
Fitness...","May 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Very relaxing. Wonderful staff. Loved it,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",8,Lake Buena Vista,One of the best resorts i have ever stayed at on the Disney property... it's very homey you don't feel like you're on vacation you feel at home I love the theme of the resort as well .. me and a few friends were staying...,"May 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Love love love love !!!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",19,Lake Buena Vista,"We stayed in the villa with 3 bedrooms this past week and had an absolute blast. The grounds are beautiful, the stay was pure Disney, and the room was completely magnificent with only a few small exceptions.
The Good:
The place is big. We had...","May 2, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",3 bedroom villa was amazing.,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",63,Lake Buena Vista,"We stayed in a 2 bedroom villa for a week during a recent Disney trip. The shuttle service was fantastic - we never waited more than 15 minutes for a bus and the wait was typically less than 5 minutes.
It was excellent to have...","February 5, 2016","ui_bubble_rating bubble_40,ratingDate relativeDate",Family Trip,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",15,Lake Buena Vista,"Stayed here for 1 week in a studio on DVC points. A few points worth noting.
A lot of people say the villas are big I thought the studio was just ok compared to some others o think the triangle shape gives it a bit...","February 11, 2016","ui_bubble_rating bubble_30,ratingDate relativeDate",Just ok ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",5,Lake Buena Vista,"Now I acknowledge when you go to disney you're not really going for the most relaxing holiday, which is why I love staying on a disney resort because for the most part, you're sorted. That being said, it can be extremely tiring at this resort...","July 5, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Pretty good, just a few things.",3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",1,Lake Buena Vista,"This resort is fantastic, has everything you could possibly need.
We had an issue when we first arrived as we were given the incorrect room, as we had a wheelchair we couldn't have used the room that we were given. Disney being Disney sorted us...","July 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Amazing resort,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",79,Lake Buena Vista,"We have been here too many times to count, but a quick tip from our stay this week. People complain about distance to the bus, the pool, etc. If you want an area that has a bus right to your door, it is buildings 49...","June 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Still love it here,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",23,Lake Buena Vista,We rented DVD rental points for a deluxe studio. Not sure what the difference is between a regular and a deluxe studio are as we were not close to the main pool at all or the main hub. Buses were not a problem and we...,"July 9, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",June\July 2017,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",19,Lake Buena Vista,"Stayed at Disney's Old Key West Resort for a joint babymoon and Mother's Day trip to celebrate with my wife and young son. During the stay, we had a one-bedroom villa. The room was outstanding... nice and very large, furnished well (to include a full...","June 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Hidden Gem,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",4,Lake Buena Vista,The resort is very nice and very well kept up. It is very large and spread out and on our first night we didn't know how big it was so we walked almost a mile to our room when there was a bus stop right...,"July 18, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great stay,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",8,Lake Buena Vista,"This was my families go to resort 20 or so years ago when I was a child and I decided to go back with my partner due to the fond memories which I had. In short, the resort was exactly how I had remembered it...","May 20, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Beautiful resort but inconsistent transportation,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",28,Lake Buena Vista,"If you are looking for large suites, this is your place. The grounds at Disney's Old Key West are massive and beautifully maintained. The transportation system is incredible. We had a two bedroom suite which worked really well for our family. My kids, husband and...","February 3, 2016","ui_bubble_rating bubble_40,ratingDate relativeDate",Wonderful Property,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",6,Lake Buena Vista,We stayed in a fabulous villa the weekend before Thanksgiving to celebrate two family birthdays. What a great weekend! While we are annual pass holders it was such a treat to stay on property and treat our granddaughters to a special weekend! The villa was...,"February 2, 2016","ui_bubble_rating bubble_50,ratingDate relativeDate",Birthday weekend,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",32,Lake Buena Vista,"We stayed in a ground floor apartment near Turtle cove, as always the accommodation was excellent. The shop on site is expensive, so if you can get out to a Walmart or Goodings this is worthwhile unless of course you have the dining plan. The...","February 11, 2016","ui_bubble_rating bubble_50,ratingDate relativeDate",No Where in the world offers this much excitement,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",17,Lake Buena Vista,"Visited in early November with wife and son we used magical express which is always fun check in was surprisingly quick then onto the room which was in block 18 on millers road which is very convenient for the bus , the room was spacious...","February 9, 2016","ui_bubble_rating bubble_50,ratingDate relativeDate",Really enjoyable,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",34,Lake Buena Vista,"I could have strangled anyone that told me to have another magical day in my frustration of operating the in room DVD player. Yes I was out alot having a magical time but winding down at night, I challenge you to personally find someone or...","February 9, 2016","ui_bubble_rating bubble_30,ratingDate relativeDate",Have A Magical Day!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",38,Lake Buena Vista,"I am a DVC member and hope to eventually try every resort on Disney property. I couldn't help but compare Old Key West to the other Disney resorts, so keep in mind that my review may be a bit biased against OKW. We booked a...","February 6, 2016","ui_bubble_rating bubble_30,ratingDate relativeDate","Needs Updating, but very spacious",3.5 Star Hotel
