Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",19,Lake Buena Vista,"We LOVED our four night stay at the Boardwalk for spring break. We were magically upgraded to club level when we arrived, which of course impacted our opinion of the property. But even without the upgrade, the facility is meticulously clean, recently renovated, with friendly...","March 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Disney Service, great location, fabulous property",4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",56,Lake Buena Vista,"For a company that prides itself on its systems, and communication with guests, a fire alarm at 3:40 am showed it is all sham. No ""cast members"" appeared, no one told guests what to do or where to go. The fire brigade took 45 minutes...","May 15, 2017","ui_bubble_rating bubble_10,ratingDate relativeDate",Dismal systems at Disney,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",27,Lake Buena Vista,"My husband and I enjoyed a short trip to Disney April 23-27, 2017. When I was searching for a place to stay, I could not believe my eyes when I scored the discounted Spring room rate offer at Disney's Boardwalk Inn for only $350/night! This...","May 12, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Location location location!,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",29,Lake Buena Vista,"We stayed for three nights in a quiet room away from the elevator and over looking a courtyard.
The room was great and if you are going to Disney make sure to link your ""my disney"" app with your tickets and hotel.
We booked fast...","March 30, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great epcot hotel,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",21,Lake Buena Vista,"This was our second trip to the Boardwalk Area, and we fell in love with it all over again. This time, we stayed in the Boardwalk Inn itself. As you would expect from a premium Disney Resort, it was spectacular. Clean, crisp, and impeccably designed,...","March 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",On the Boardwalk with my Baby-That's where we'll be.,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",35,Lake Buena Vista,"This was our first time at a Disney resort, and it was wonderful. My husband was attending a conference, and both our room and the meeting facilities were quite comfortable. Although we didn't try the pool, it looked inviting. The staff were all friendly and...","March 25, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Wonderful property, wonderful staff",4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",13,Lake Buena Vista,This is definitely not a luxury resort by industry standards and the decor was tired. The best thing about the Boardwalk is the location. You can walk to Epcot and Hollywood Studios. It is nice to be able to eat and have entertainment on the...,"March 25, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Listed as a luxury resort but not much luxury.,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",5,Lake Buena Vista,We love the Boardwalk club level. We stayed at Polynesian club level last year and the boardwalks is so much nicer. We've stayed in the garden villas as well as the club level Boardwalk view rooms and both have been great. Especially a great place...,"May 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Another great club level visit ,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",13,Lake Buena Vista,"My wife and I arrived at the Boardwalk Inn on Friday, April 28th for a three night stay in a Club Level Deluxe Room. As expected our room was not ready but we were told that it was guaranteed for 3:00 PM, so after a...","May 6, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Thank You Ellen,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",18,Lake Buena Vista,"This resort was very nice but HUGE! The walk to our room took about 7 minutes from the lobby! It doesn't have the traditional feel of a resort because most of the shops, restaurants and bars aren't in the lobby area, they're down along the...","May 4, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Very nice resort with a different feel to it,4.0 Star Hotel
