Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",2,Lake Buena Vista,We came here after our honeymoon because our connecting flight got delayed 3 times! It was a great experience. We arrived and were given beads and coins to throw in the fountain. The guy at the desk was great and very helpful especially getting there...,"July 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Came here on a whim!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",5,Lake Buena Vista,"This is a smaller resort with so many advantages. I stayed in builiding three which was steps away from everything. I could be at the front desk, dining room, store, arcade, or pool in 3 minutes or less. The quick service dining choices were mainly...","June 29, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Charming, Convenient, and Overall a Wonderful Resort",3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",4,Lake Buena Vista,Grounds were very pretty and very well kept. Before booking my flight I asked if it would be possible for my room to be ready early around noon. The woman I spoke to said that this would be no problem and she would put it...,"July 18, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Nice property ,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",5,Lake Buena Vista,Stayed here during our daughters band trip to Disney (band group stayed at another property). The theme is very nice and carried out well. We had a room with 2 Queen beds that was very spacious and overlooked the courtyard where they did movies. Transportation...,"July 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great theme and good location,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",6,Lake Buena Vista,"We stayed at POFQ early February 2017.
Pros:
-The grounds are beautiful
-The room Was larger and had more storage than expected
-Staff helpful and friendly
-Mousekeeping was great
-The food court had a lot of options and was good, build your own pasta was...","February 12, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Has its pros and cons,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",18,Lake Buena Vista,"I paid $217/night for a king room. I paid too much. The room felt old and dirty. The location of the room was awesome because it was close to the boat to Disney Springs, the pool, and the restaurants. The door hinge was broken on...","February 13, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Disney's Port Orleans French Quarter,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",4,Lake Buena Vista,This suited us family of 4 plus me! All the staff were lovely and helpful. Rooms were clean and had good air conditioning. We had two rooms in block 4. Very short walk to facilities. Pool was great for family and well patrolled. Buses frequent...,"July 7, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great hotel,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",9,Lake Buena Vista,"From the doorman to the lifeguard, from the shop/restaurant staff to the mouse maids, all the staff were polite, friendly, and helpful.
French Quarter was the perfect holiday destination.
So quaint, peaceful and in beautiful well kept grounds on the side of a river.
The...","July 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Time of our lives,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",8,Lake Buena Vista,"The overall look of the property is not as pleasing as some of the other ""moderate"" hotels at WDW, but of course it is very clean and VERY quiet. Service to and from the parks was extremely quick, even with a full bus. As we...","July 18, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Very quiet, and great food.",3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",45,Lake Buena Vista,I stayed at the Port Orleans French Quarter for 5 nights with my daughter and my grandchildren. I could not have been happier! The hotel is well located to all the parks so the bus ride is not too long. Rooms are average and resemble...,"July 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",I would definitely recommend!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",69,Lake Buena Vista,"Our family of 4 (2 adults, 3 y.o. and 1 y.o.) stayed at the French Quarter the week before Thanksgiving. This was our first stay at this hotel on the Disney property. We had read that it was similar to Saratoga Springs, but in a...","July 22, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate","A Nice Resort in the ""Moderate"" category",3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",4,Lake Buena Vista,Disney's Port Orleans French quarter feels just like you are staying in the real French quarter in New Orleans! The attention paid to detail is exceptional and the hotel grounds are immaculate. The rooms are very nice as well. I normally stay at Caribbean Beach...,"July 9, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Beautiful hotel!!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",25,Lake Buena Vista,"It wasn't my first time at Disney's Port Orleans Resort - French Quarter. But was the only really disappointing.
When you choose a hotel you expect that staying there will be a pleasant experience.You don't want to get bored. Especially when you choosing a Disney...","July 7, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",My worst experience with Disney,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",9,Lake Buena Vista,Very nice place to stay on Disney resort. Room is small with 2 queen beds. Mattress are very confortable. There is a small refrigerator and also a small coffee maker. The outside site is amazing with luxurious plants and a sidewalk on the river. Romantic...,"July 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful resort,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",26,Lake Buena Vista,"The rooms are standard hotel rooms but everything else was great.
the theming is fantastic and my teenage daughters enjoyed the boat to Disney Springs.
Food was ok, nothing special but passable.
pools are great for younger children and let adults rest while the kids...","July 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Standard Hotel style rooms but the theming is great,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",16,Lake Buena Vista,"My wife and I stayed in building two with a river view.
Even though the boats and kids pool was near us we never heard the noise. The great thing about building two was that it was near the food and drinks along with transportation....","July 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",A great place for a base of operations. ,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",13,Lake Buena Vista,"We stayed 4 nights the week of July 4th.
The resort was very quiet and peaceful, without feeling crowded despite being full due to the holiday week.
The resort has a Disney bus system stop in front where buses can take you to any of...","July 16, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Excellent mid price resort with no restaurant ,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",15,Lake Buena Vista,"We stayed at this hotel for 6 nights, and had a really good time. The hotel was quiet and clean, and the room was large enough for the three of us. Beds were very comfortable. We had breakfast every morning at the food-court, and found...","July 15, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Good hotel!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",1,Lake Buena Vista,"We just came back from a six day stay at the Port Orleans French Quarter. We visited all four Disney parks during our stay. This was our first time staying in a Disney property. When I did my research and called to book through Disney,...","July 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Quiet Resort Amid the Chaos of Disney!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",46,Lake Buena Vista,everybody working at this hotel appears to be extremely committed to making your guest stay as pleasant as possible. very clean and run well. BRAVO TO YOU DISNEY. great location only a short boat ride from Disney springs.,"February 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",first class,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",19,Lake Buena Vista,"We stayed here again in December after a trip in April. We thought about Riverside, but have a connection here! We never received a text about our room and when we questioned the cast member at the front desk, he was not helpful and rude...","February 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",We keep coming back!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",10,Lake Buena Vista,"Beautiful grounds, great pool, very relaxed feel. Not a far walk from any point in the resort. The food court is a bit tight but overall great place to stay. The recently added splash pad is a great touch for the kids.","February 13, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great resort,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",92,Lake Buena Vista,"Having read reviews I was expecting this resort to be very small, but its a lovely size.(having stayed at much bigger resorts in WDW). Arrived and checked in very quickly on a Saturday afternoon and had our room in Block 7. A very handy part...","February 13, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Perfect base and bigger than expected.....,3.5 Star Hotel
